469,1921,1,6,11,28,4,34,20,55,21,30,0,0
470,1921,2,4,12,27,16,21,19,20,12,30,0,0
471,1921,3,6,1,27,10,46,21,50,11,30,0,0
472,1921,4,5,2,27,16,9,20,33,23,29,0,0
473,1921,5,6,3,29,10,5,21,17,23,30,0,0
474,1921,6,6,5,1,14,42,22,36,7,29,29,0
475,1921,7,8,6,4,1,7,23,31,18,30,0,0
476,1921,8,8,7,5,10,44,24,15,1,29,0,0
477,1921,9,8,8,7,13,10,23,20,22,29,0,0
478,1921,10,9,9,9,4,11,24,3,7,30,0,0
479,1921,11,8,10,9,6,46,23,5,4,29,0,0
480,1921,12,7,11,9,23,12,22,8,17,30,0,0
481,1922,1,6,12,9,10,17,21,48,3,30,0,0
482,1922,2,4,1,8,22,7,19,16,18,30,0,0
483,1922,3,6,2,8,16,34,21,49,17,29,0,0
484,1922,4,5,3,9,21,58,21,29,5,30,0,0
485,1922,5,6,4,10,15,53,22,12,5,30,0,0
486,1922,6,6,5,11,20,30,22,27,13,29,0,0
487,1922,7,8,5,14,7,13,24,20,0,29,0,1
488,1922,8,8,6,16,16,38,24,5,7,30,0,0
489,1922,9,8,7,17,19,7,24,10,4,29,0,0
490,1922,10,9,8,19,10,10,24,52,12,29,0,0
491,1922,11,8,9,20,12,46,23,56,9,30,0,0
492,1922,12,8,10,20,5,11,22,57,22,29,0,0
493,1923,1,6,11,20,16,15,21,35,9,30,0,0
494,1923,2,5,12,20,4,1,19,0,0,30,0,0
495,1923,3,6,1,19,22,25,21,29,23,29,0,0
496,1923,4,6,2,21,3,46,21,6,11,30,0,0
497,1923,5,6,3,21,21,39,22,46,10,30,0,0
498,1923,6,7,4,23,2,15,22,23,19,29,0,0
499,1923,7,8,5,25,12,42,24,1,6,30,0,0
500,1923,8,8,6,26,22,25,24,52,12,29,0,0
501,1923,9,9,7,29,0,58,24,4,10,30,0,0
502,1923,10,9,8,29,16,4,24,51,18,29,0,0
503,1923,11,8,10,1,18,41,23,54,15,30,29,0
504,1923,12,8,11,1,11,5,23,54,4,29,0,0
505,1924,1,6,12,1,22,6,21,29,15,30,0,0
506,1924,2,5,1,1,9,50,20,52,5,29,0,0
507,1924,3,6,2,2,4,13,21,21,5,30,0,0
508,1924,4,5,3,2,9,34,20,59,16,30,0,0
509,1924,5,6,4,3,3,26,21,4,16,29,0,0
510,1924,6,6,5,5,8,2,22,0,1,30,0,0
511,1924,7,7,6,6,18,30,23,58,11,30,0,0
512,1924,8,8,7,8,4,13,23,48,18,29,0,0
513,1924,9,8,8,10,6,42,23,59,15,30,0,0
514,1924,10,8,9,10,21,53,24,45,0,29,0,0
515,1924,11,8,10,12,1,26,22,47,21,30,0,0
516,1924,12,7,11,11,16,54,22,46,10,29,0,0
517,1925,1,6,12,12,3,54,20,21,21,29,0,0
518,1925,2,4,1,12,15,37,19,43,11,30,0,0
519,1925,3,6,2,12,10,0,21,13,11,29,0,0
520,1925,4,5,3,13,15,23,20,52,22,30,0,0
521,1925,5,6,4,14,9,18,21,33,22,29,0,0
522,1925,6,6,4,16,14,15,22,50,6,30,0,1
523,1925,7,8,5,18,0,25,23,45,17,30,0,0
524,1925,8,8,6,19,10,8,24,33,0,29,0,0
525,1925,9,8,7,21,12,44,23,44,21,30,0,0
526,1925,10,9,8,22,3,48,24,32,6,30,0,0
527,1925,11,8,9,22,6,27,23,36,3,29,0,0
528,1925,12,7,10,22,22,53,22,37,16,30,0,0
529,1926,1,6,11,22,9,55,21,13,3,29,0,0
530,1926,2,4,12,22,21,39,19,35,17,30,0,0
531,1926,3,6,1,22,16,0,21,51,18,29,0,0
532,1926,4,5,2,23,21,19,21,37,4,29,0,0
533,1926,5,6,3,25,15,9,22,15,4,30,0,0
534,1926,6,6,4,26,19,42,22,30,12,29,0,0
